swnval,pos,neg,neut,yval
0.708333333333,2,2,13,2
1.0,1,2,12,2
1.21875,3,1,6,2
0.95,4,1,10,2
1.3125,4,2,20,2
1,0,0,8,2
0.9375,2,3,4,2
1.16666666667,2,1,7,2
0.875,1,1,10,2
1.03125,4,2,5,2
1.25,4,1,7,2
1.16666666667,3,0,5,2
0.875,1,3,6,2
1,0,0,12,2
1.3125,3,0,7,2
1.125,1,0,2,2
1.3125,2,0,14,2
1.125,2,0,2,2
1.375,2,0,9,2
0.975,3,1,10,2
0.95,3,4,10,2
1.08333333333,2,1,4,2
1.28571428571,8,1,25,2
0.9375,3,2,16,2
1.16666666667,2,2,8,2
0.916666666667,2,1,7,2
1.125,2,2,17,2
1.375,2,0,9,2
1.1875,2,1,10,2
0.78125,2,3,20,2
1.375,4,0,12,2
1.03125,2,2,13,2
1.4375,3,1,16,2
0.8125,1,1,13,2
1.21875,4,1,16,2
1.33333333333,3,0,15,2
1.25,3,1,4,2
1,0,1,7,2
1.5,3,1,2,2
1.3125,2,1,12,2
1.08333333333,4,3,13,2
1.4,5,0,16,2
1.33333333333,3,1,12,2
1.125,3,3,16,2
1.04166666667,3,1,10,2
1.175,5,1,10,2
0.875,0,2,7,2
1.09375,4,1,4,2
1.4375,3,0,10,2
1.4375,3,0,6,2
0.875,1,1,6,2
1.075,6,3,9,2
0.8125,1,3,16,2
1.325,4,1,13,2
1.0,2,1,5,2
0.9375,1,2,5,2
1.125,2,0,3,2
0.9375,2,2,7,2
0.916666666667,3,3,11,2
0.857142857143,3,5,11,2
1.125,3,2,8,2
1,0,0,9,2
1.16666666667,3,1,11,2
1.0625,2,1,6,2
1.28125,3,1,13,2
0.791666666667,3,6,10,2
1.175,5,2,21,2
1.25,2,0,3,2
0.875,2,2,4,2
1.25,6,1,14,2
1,0,0,7,2
0.90625,4,1,9,2
0.875,0,1,7,2
0.833333333333,1,2,3,2
0.875,1,3,11,2
1.5,1,0,3,2
1.0625,2,2,12,2
1.125,5,1,19,2
1.0625,3,3,4,2
1.28125,4,0,6,2
0.8125,0,2,4,2
1.25,4,1,17,2
1.15,4,1,10,2
0.8125,0,2,9,2
1.0,2,2,8,2
1.25,3,1,4,2
1.25,4,1,6,2
1.375,2,1,2,2
1,0,0,5,2
0.625,1,2,15,2
1.25,1,0,4,2
0.875,0,1,5,2
1.27777777778,8,1,5,2
0.75,2,5,10,2
1.04166666667,2,1,13,2
1.4375,2,0,3,2
1.0625,6,2,17,2
1,2,0,0,2
1.25,6,1,12,2
1,0,0,8,2
0.833333333333,1,1,12,2
0.791666666667,1,2,6,2
0.875,1,1,8,2
1.09375,2,3,9,2
1.15625,3,1,6,2
1.0,3,1,5,2
1.0625,4,2,10,2
1.03571428571,5,2,14,2
1.0625,3,1,4,2
0.916666666667,1,2,7,2
0.875,1,2,14,2
1.25,5,0,9,2
1.02575,2,2,7,2
1.22916666667,5,1,12,2
1.28125,4,4,16,2
1.5,1,1,1,2
1.0625,0,1,10,2
1.5,2,0,9,2
1.34375,4,1,7,2
1.3,5,1,2,2
0.4375,0,2,8,2
1.25,1,1,5,2
0.96875,2,1,10,2
0.625,0,1,5,2
1.1875,3,0,12,2
1.25,4,1,13,2
1.28125,4,0,12,2
0.946428571429,3,5,20,2
1.24566666667,4,0,13,2
0.725,2,3,6,2
1.0,3,1,10,2
1.75,2,1,6,2
1.21428571429,6,1,13,2
0.78125,3,2,7,2
1.025,3,2,16,2
1.375,3,0,20,2
1.75,1,0,10,2
1.125,1,2,3,2
0.854166666667,2,3,14,2
0.875,1,2,7,2
1.33333333333,3,1,7,2
1.0,2,1,7,2
1.33333333333,3,0,17,2
1.29166666667,2,1,12,2
0.958333333333,6,4,12,2
0.958333333333,2,1,9,2
1.3,4,2,7,2
1.75,1,0,6,2
1.25,1,1,3,2
0.75,1,2,11,2
1.33928571429,6,4,12,2
1.125,1,0,1,2
1.4375,1,0,7,2
1.0,3,2,11,2
1.375,4,0,10,2
1.125,2,0,7,2
1.0,1,1,9,2
1.0625,3,2,10,2
0.25,0,1,5,2
1.19642857143,6,2,12,2
1.3125,2,1,4,2
0.875,0,1,3,2
1.09375,4,2,20,2
0.875,1,1,5,2
1.35,6,1,12,2
1.1,3,3,17,2
0.944444444444,5,7,14,2
1.375,1,0,2,2
0.875,2,1,5,2
1.375,2,0,0,2
1.375,4,0,2,2
0.958333333333,2,1,3,2
0.875,3,4,14,2
1.25,5,0,8,2
0.916666666667,4,4,12,2
0.916666666667,1,2,12,2
1.16666666667,2,1,7,2
1.16666666667,3,3,6,2
1.0,3,2,12,2
1.125,1,1,15,2
1.375,2,0,4,2
1.0625,2,2,3,2
1.16666666667,6,2,9,2
1.225,5,1,6,2
0.875,0,1,4,2
0.9375,1,1,2,2
1.075,3,1,23,2
0.975,2,2,11,2
1.0,1,1,3,2
0.84375,1,5,20,2
0.95,6,6,18,2
1.0,1,1,2,2
0.875,1,2,10,2
0.96875,1,3,10,2
0.25,3,1,7,2
1.4375,2,1,5,2
1.625,2,0,4,2
1.6875,2,1,11,2
1.14285714286,3,3,16,2
1.14285714286,4,3,6,2
0.84375,5,1,10,2
1.12175,4,1,12,2
1.41666666667,4,0,10,2
1.01388888889,3,7,6,2
0.875,0,1,5,2
1.1875,7,1,23,2
0.9375,1,1,4,2
0.90625,2,2,12,2
1.125,5,1,13,2
1.3125,2,0,14,2
0.5276,3,7,15,2
1.125,1,0,8,2
1.02083333333,3,3,11,2
1.0,1,1,0,2
1,0,0,11,2
1.375,1,0,9,2
1.16071428571,4,3,12,2
1.0,1,1,4,2
1.3125,1,1,10,2
1.3125,9,2,12,2
1.375,7,0,9,2
1.33333333333,3,0,2,2
1,0,0,10,2
0.675,1,3,14,2
1.05,2,2,10,2
1.125,1,0,5,2
0.96875,2,2,1,2
1.625,1,0,10,2
0.84375,3,4,12,2
0.964285714286,4,3,19,2
1.08333333333,3,2,14,2
1.21875,4,1,7,2
0.9375,4,6,15,2
1.5,4,0,12,2
1.23214285714,6,1,14,2
0.875,2,3,12,2
1.25,7,2,16,2
1.1875,6,3,17,2
0.958333333333,0,3,11,2
1.0,3,2,10,2
1.140625,7,2,9,2
1.5,6,0,5,2
1.3125,2,0,1,2
1.25,1,1,4,2
1.125,1,1,7,2
0.625,0,1,4,2
1.08333333333,2,1,11,2
1.5,3,0,6,2
0.916666666667,2,2,2,2
1.41666666667,4,0,5,2
0.958333333333,1,1,11,2
1.15,4,2,12,2
1.5,2,0,13,2
1.25,2,1,8,2
1.1,5,1,6,2
1,0,0,7,2
1.25,2,0,29,2
1.15,5,1,10,2
0.5625,0,1,8,2
1.025,4,2,13,2
1.16666666667,3,0,1,2
1.28125,4,1,10,2
1,1,0,3,2
1.0,1,2,8,2
0.925,2,3,5,2
1.625,2,0,10,2
1.16666666667,2,1,1,2
1.125,2,1,6,2
1,0,0,0,2
1.34375,4,0,12,2
1.075,4,1,3,2
1.33333333333,3,0,13,2
1.25,4,0,7,2
1.375,3,0,14,2
1.325,5,2,8,2
1.0625,2,3,15,2
1.2069,7,4,20,2
1,2,1,6,2
1.125,2,0,6,2
1.0625,1,1,2,2
0.972222222222,5,6,5,2
